ZIP_CODE,INCIDENT_DATE_TIME,Group_Count
11004.0,2014,336
11363.0,2014,290
11430.0,2014,213
10280.0,2014,189
11697.0,2014,183
10020.0,2014,161
11005.0,2014,100
11251.0,2014,80
11451.0,2014,16
11371.0,2014,7
10044.0,2014,3
10691.0,2014,1
99999.0,2015,10776
10456.0,2015,8139
10029.0,2015,7129
11212.0,2015,6973
11206.0,2015,6942
11207.0,2015,6871
10002.0,2015,6410
11201.0,2015,5996
10027.0,2015,5978
10451.0,2015,5908
11233.0,2015,5744
10467.0,2015,5683
11226.0,2015,5660
11208.0,2015,5577
10458.0,2015,5535
10453.0,2015,5510
10457.0,2015,5506
11211.0,2015,5322
10035.0,2015,5294
11221.0,2015,5219
10025.0,2015,4919
10009.0,2015,4899
10021.0,2015,4782
10003.0,2015,4726
11234.0,2015,4638
10016.0,2015,4631
10452.0,2015,4622
11236.0,2015,4572
10460.0,2015,4447
10455.0,2015,4381
11213.0,2015,4288
11203.0,2015,4208
10454.0,2015,4087
10314.0,2015,4076
10472.0,2015,4052
10001.0,2015,4013
11101.0,2015,3875
11691.0,2015,3829
10469.0,2015,3818
10032.0,2015,3815
10019.0,2015,3811
11216.0,2015,3810
10463.0,2015,3796
10468.0,2015,3786
10473.0,2015,3711
11385.0,2015,3691
10466.0,2015,3661
11224.0,2015,3660
11235.0,2015,3657
10031.0,2015,3617
11230.0,2015,3604
10036.0,2015,3541
11373.0,2015,3531
11229.0,2015,3507
10459.0,2015,3436
10011.0,2015,3405
11432.0,2015,3390
10026.0,2015,3358
11220.0,2015,3331
10462.0,2015,3328
11434.0,2015,3292
10022.0,2015,3208
11215.0,2015,3193
11368.0,2015,3183
11214.0,2015,3168
11210.0,2015,3127
10024.0,2015,3121
10304.0,2015,3085
11435.0,2015,3056
11237.0,2015,3022
11209.0,2015,2979
10013.0,2015,2964
11205.0,2015,2963
11217.0,2015,2961
11377.0,2015,2958
10301.0,2015,2899
11354.0,2015,2895
10461.0,2015,2874
11223.0,2015,2864
10023.0,2015,2856
10475.0,2015,2800
11433.0,2015,2746
11375.0,2015,2689
10017.0,2015,2688
11238.0,2015,2654
10465.0,2015,2626
11225.0,2015,2578
