INCIDENT_DATE_TIME,ZIP_CODE,Group_Count
2013-01-03,10458.0,11
2013-01-03,10452.0,8
2013-01-04,11235.0,4
2013-01-04,11229.0,3
2013-01-04,11228.0,6
2013-01-04,11230.0,6
2013-01-04,11231.0,6
2013-01-04,11233.0,8
2013-01-04,11234.0,15
2013-01-04,11236.0,11
2013-01-04,11360.0,1
2013-01-04,11238.0,11
2013-01-04,11239.0,1
2013-01-04,11251.0,1
2013-01-04,11354.0,9
2013-01-04,11355.0,3
2013-01-04,11356.0,2
2013-01-04,11226.0,15
2013-01-04,11357.0,7
2013-01-04,11237.0,9
2013-01-04,11225.0,14
2013-01-04,11207.0,19
2013-01-04,11223.0,9
2013-01-04,11206.0,11
2013-01-04,11361.0,2
2013-01-04,11208.0,10
2013-01-04,11209.0,4
2013-01-04,11210.0,10
2013-01-04,11211.0,13
2013-01-04,11212.0,19
2013-01-04,11213.0,6
2013-01-04,11214.0,5
2013-01-04,11215.0,3
2013-01-04,11216.0,5
2013-01-04,11217.0,8
2013-01-04,11218.0,6
2013-01-04,11219.0,6
2013-01-04,11220.0,8
2013-01-04,11221.0,11
2013-01-04,11222.0,3
2013-01-04,11224.0,8
2013-01-04,11362.0,2
2013-01-04,11694.0,1
2013-01-04,11364.0,4
2013-01-04,11418.0,4
2013-01-04,11419.0,1
2013-01-04,11420.0,9
2013-01-04,11423.0,3
2013-01-04,11426.0,3
2013-01-04,11428.0,1
2013-01-04,11429.0,6
2013-01-04,11430.0,2
2013-01-04,11432.0,10
2013-01-04,11433.0,2
2013-01-04,11434.0,7
2013-01-04,11435.0,4
2013-01-04,11436.0,4
2013-01-04,11691.0,8
2013-01-04,11692.0,2
2013-01-04,11205.0,9
2013-01-04,99999.0,21
2013-01-04,11417.0,1
2013-01-04,11363.0,1
2013-01-04,11416.0,3
2013-01-04,11414.0,6
2013-01-04,11365.0,3
2013-01-04,11366.0,1
2013-01-04,11367.0,6
2013-01-04,11368.0,2
2013-01-04,11369.0,4
2013-01-04,11370.0,2
2013-01-04,11372.0,4
2013-01-04,11373.0,8
2013-01-04,11374.0,3
2013-01-04,11375.0,3
2013-01-04,11377.0,14
2013-01-04,11378.0,8
2013-01-04,11379.0,4
2013-01-04,11385.0,10
2013-01-04,11411.0,6
2013-01-04,11412.0,6
2013-01-04,11413.0,6
2013-01-04,11415.0,2
2013-01-04,11204.0,5
2013-01-04,11693.0,5
2013-01-04,11201.0,11
2013-01-04,10028.0,3
2013-01-04,10029.0,16
2013-01-04,10030.0,8
2013-01-04,10031.0,13
